"ID";"Salt Stripped Molecule";"Salt Stripped Molecule (InChI Code)";"Salt Stripped Molecule (InChI Key)";"Class";"duplicate-type-classifier"
"JR_0013";"C=CCNC(=O)C(C)Nc1ccc(N2CC[NH+](CC)CC2)cc1C";"InChI=1S/C19H30N4O/c1-5-9-20-19(24)16(4)21-18-8-7-17(14-15(18)3)23-12-10-22(6-2)11-13-23/h5,7-8,14,16,21H,1,6,9-13H2,2-4H3,(H,20,24)/p+1/t16-/m0/s1";"GEACNMGNHSHBQL-INIZCTEOSA-O";"E3Nonbinder";"unique"
"JR_0014";"C=CCNC(=O)C(C)OC(=O)c1cc(Cl)ccc1OC";"InChI=1S/C14H16ClNO4/c1-4-7-16-13(17)9(2)20-14(18)11-8-10(15)5-6-12(11)19-3/h4-6,8-9H,1,7H2,2-3H3,(H,16,17)/t9-/m0/s1";"TYSJOAQQYRLIGC-VIFPVBQESA-N";"E3Nonbinder";"unique"
"JR_0015";"C=CCNC(=O)C(CC(C)C)NC(=O)c1ccccc1C";"InChI=1S/C17H24N2O2/c1-5-10-18-17(21)15(11-12(2)3)19-16(20)14-9-7-6-8-13(14)4/h5-9,12,15H,1,10-11H2,2-4H3,(H,18,21)(H,19,20)/t15-/m0/s1";"LIIZBGMKAGGOKN-HNNXBMFYSA-N";"E3Nonbinder";"unique"
"JR_0016";"C=CCOc1ccc(CN(CC2CCCO2)C(=O)c2ccc(C#N)cc2)cc1OC";"InChI=1S/C24H26N2O4/c1-3-12-30-22-11-8-19(14-23(22)28-2)16-26(17-21-5-4-13-29-21)24(27)20-9-6-18(15-25)7-10-20/h3,6-11,14,21H,1,4-5,12-13,16-17H2,2H3/t21-/m1/s1";"GJGNWZUOGNSCMP-OAQYLSRUSA-N";"E3Nonbinder";"unique"
"JR_0017";"C=CCSc1nnc(NC(=O)CC(NC(C)=O)c2ccc(C)cc2)s1";"InChI=1S/C17H20N4O2S2/c1-4-9-24-17-21-20-16(25-17)19-15(23)10-14(18-12(3)22)13-7-5-11(2)6-8-13/h4-8,14H,1,9-10H2,2-3H3,(H,18,22)(H,19,20,23)/t14-/m0/s1";"CXXBGHZTSCNKKD-AWEZNQCLSA-N";"E3Nonbinder";"unique"
"JR_0018";"C=CCSc1nnc(NC(=O)C2CC(=O)N(Cc3ccc(C)cc3)C2)s1";"InChI=1S/C18H20N4O2S2/c1-3-8-25-18-21-20-17(26-18)19-16(24)14-9-15(23)22(11-14)10-13-6-4-12(2)5-7-13/h3-7,14H,1,8-11H2,2H3,(H,19,20,24)/t14-/m0/s1";"ZVMXYQQZGIHEJW-AWEZNQCLSA-N";"E3Nonbinder";"unique"
"JR_0019";"C=CCn1c(SC(C)C(=O)c2ccc(OC)c(OC)c2)nnc1C1CC1";"InChI=1S/C19H23N3O3S/c1-5-10-22-18(13-6-7-13)20-21-19(22)26-12(2)17(23)14-8-9-15(24-3)16(11-14)25-4/h5,8-9,11-13H,1,6-7,10H2,2-4H3/t12-/m0/s1";"USRIMHQSAIGJEG-LBPRGKRZSA-N";"E3Nonbinder";"unique"
"JR_0020";"C=CCn1c(SC(C)c2nnnn2-c2ccccc2)nnc1-c1ccoc1C";"InChI=1S/C19H19N7OS/c1-4-11-25-18(16-10-12-27-13(16)2)20-22-19(25)28-14(3)17-21-23-24-26(17)15-8-6-5-7-9-15/h4-10,12,14H,1,11H2,2-3H3/t14-/m0/s1";"WNBBSJUNIZAHHX-AWEZNQCLSA-N";"E3Nonbinder";"unique"
"JR_0021";"CC(=O)CC(C)(C)NC(=O)CC[NH+]1CCCC(C(=O)Nc2ccccc2)C1";"InChI=1S/C21H31N3O3/c1-16(25)14-21(2,3)23-19(26)11-13-24-12-7-8-17(15-24)20(27)22-18-9-5-4-6-10-18/h4-6,9-10,17H,7-8,11-15H2,1-3H3,(H,22,27)(H,23,26)/p+1/t17-/m0/s1";"JVEPLKCYUYOERV-KRWDZBQOSA-O";"E3Nonbinder";"unique"
"JR_0022";"CC(=O)N(C)CC(=O)NC(C)CCc1ccc(OC(C)C)cc1";"InChI=1S/C18H28N2O3/c1-13(2)23-17-10-8-16(9-11-17)7-6-14(3)19-18(22)12-20(5)15(4)21/h8-11,13-14H,6-7,12H2,1-5H3,(H,19,22)/t14-/m0/s1";"VXEGFPTUEZECJL-AWEZNQCLSA-N";"E3Nonbinder";"unique"
"JR_0023";"CC(=O)N1CCCC1C(=O)NCCc1ccc(OCc2ccccc2)cc1";"InChI=1S/C22H26N2O3/c1-17(25)24-15-5-8-21(24)22(26)23-14-13-18-9-11-20(12-10-18)27-16-19-6-3-2-4-7-19/h2-4,6-7,9-12,21H,5,8,13-16H2,1H3,(H,23,26)/t21-/m0/s1";"ZLCZMUBKNBPCJS-NRFANRHFSA-N";"E3Nonbinder";"unique"
"JR_0024";"CC(=O)N1CCN(C(=O)C2=NN(c3ccccc3)C(c3ccccc3)C2)CC1";"InChI=1S/C22H24N4O2/c1-17(27)24-12-14-25(15-13-24)22(28)20-16-21(18-8-4-2-5-9-18)26(23-20)19-10-6-3-7-11-19/h2-11,21H,12-16H2,1H3/t21-/m0/s1";"QZBOVLICQPCWSV-NRFANRHFSA-N";"E3Nonbinder";"unique"
"JR_0025";"CC(=O)N1CCN(C(=O)C2CCCN2C(=O)c2cc(Cl)ccc2Cl)CC1";"InChI=1S/C18H21Cl2N3O3/c1-12(24)21-7-9-22(10-8-21)18(26)16-3-2-6-23(16)17(25)14-11-13(19)4-5-15(14)20/h4-5,11,16H,2-3,6-10H2,1H3/t16-/m0/s1";"YHCWVMZKWUTBBD-INIZCTEOSA-N";"E3Nonbinder";"unique"
"JR_0026";"CC(=O)N1CCN(C(=O)C(Cc2ccccc2)NC(=O)OC(C)(C)C)CC1";"InChI=1S/C20H29N3O4/c1-15(24)22-10-12-23(13-11-22)18(25)17(14-16-8-6-5-7-9-16)21-19(26)27-20(2,3)4/h5-9,17H,10-14H2,1-4H3,(H,21,26)/t17-/m0/s1";"SJVSTKDUGHOMTL-KRWDZBQOSA-N";"E3Nonbinder";"unique"
"JR_0027";"CC(=O)N1CCc2cc(C(=O)C(C)Nc3cccc(C)c3C)ccc21";"InChI=1S/C21H24N2O2/c1-13-6-5-7-19(14(13)2)22-15(3)21(25)18-8-9-20-17(12-18)10-11-23(20)16(4)24/h5-9,12,15,22H,10-11H2,1-4H3/t15-/m0/s1";"XPFVITISCUOWCY-HNNXBMFYSA-N";"E3Nonbinder";"unique"
"JR_0028";"CC(=O)N1CCc2cc(C(=O)C(C)Sc3nc4ccccc4c(=O)n3C3CC3)ccc21";"InChI=1S/C24H23N3O3S/c1-14(22(29)17-7-10-21-16(13-17)11-12-26(21)15(2)28)31-24-25-20-6-4-3-5-19(20)23(30)27(24)18-8-9-18/h3-7,10,13-14,18H,8-9,11-12H2,1-2H3/t14-/m0/s1";"YGPQNPQHZLRGBH-AWEZNQCLSA-N";"E3Nonbinder";"unique"
"JR_0031";"CC(=O)NC(C(=O)NCc1ccccc1C[NH+]1CCCC1)C(C)C";"InChI=1S/C19H29N3O2/c1-14(2)18(21-15(3)23)19(24)20-12-16-8-4-5-9-17(16)13-22-10-6-7-11-22/h4-5,8-9,14,18H,6-7,10-13H2,1-3H3,(H,20,24)(H,21,23)/p+1/t18-/m0/s1";"JBGJCLDNSQRVNH-SFHVURJKSA-O";"E3Nonbinder";"unique"
"JR_0032";"CC(=O)NC1(C(=O)NCC(Cc2ccccc2)[NH+](C)C)CCCCC1";"InChI=1S/C20H31N3O2/c1-16(24)22-20(12-8-5-9-13-20)19(25)21-15-18(23(2)3)14-17-10-6-4-7-11-17/h4,6-7,10-11,18H,5,8-9,12-15H2,1-3H3,(H,21,25)(H,22,24)/p+1/t18-/m0/s1";"LCTXBMDKBZICCK-SFHVURJKSA-O";"E3Nonbinder";"unique"
"JR_0033";"CC(=O)NCCCCCC(=O)N1CCCC1c1ccc(Cl)c(Cl)c1";"InChI=1S/C18H24Cl2N2O2/c1-13(23)21-10-4-2-3-7-18(24)22-11-5-6-17(22)14-8-9-15(19)16(20)12-14/h8-9,12,17H,2-7,10-11H2,1H3,(H,21,23)/t17-/m0/s1";"KRKWAIZFNARTMR-KRWDZBQOSA-N";"E3Nonbinder";"unique"
"JR_0034";"CC(=O)NCC[NH2+]CC(O)COc1ccccc1C(C)C";"InChI=1S/C16H26N2O3/c1-12(2)15-6-4-5-7-16(15)21-11-14(20)10-17-8-9-18-13(3)19/h4-7,12,14,17,20H,8-11H2,1-3H3,(H,18,19)/p+1/t14-/m0/s1";"CFMFMJXYYKQHIS-AWEZNQCLSA-O";"E3Nonbinder";"unique"
"JR_0035";"CC(=O)NCCc1ccc(C(=O)CN2C(=O)NC(C)(c3ccc(F)cc3)C2=O)cc1F";"InChI=1S/C22H21F2N3O4/c1-13(28)25-10-9-14-3-4-15(11-18(14)24)19(29)12-27-20(30)22(2,26-21(27)31)16-5-7-17(23)8-6-16/h3-8,11H,9-10,12H2,1-2H3,(H,25,28)(H,26,31)/t22-/m1/s1";"PGMJOVWSOIEGDT-JOCHJYFZSA-N";"E3Nonbinder";"unique"
"JR_0036";"CC(=O)NC(C)c1ccc(C(=O)CN2C(=O)NC3(CCCC3)C2=O)cc1";"InChI=1S/C19H23N3O4/c1-12(20-13(2)23)14-5-7-15(8-6-14)16(24)11-22-17(25)19(21-18(22)26)9-3-4-10-19/h5-8,12H,3-4,9-11H2,1-2H3,(H,20,23)(H,21,26)/t12-/m0/s1";"PQLSJBODMDRUQM-LBPRGKRZSA-N";"E3Nonbinder";"unique"
"JR_0037";"CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)N1CCN(c2cnccn2)CC1";"InChI=1S/C21H24N6O2/c1-15(28)25-19(12-16-13-24-18-5-3-2-4-17(16)18)21(29)27-10-8-26(9-11-27)20-14-22-6-7-23-20/h2-7,13-14,19,24H,8-12H2,1H3,(H,25,28)/t19-/m0/s1";"WVTHJFNUPZIZIF-IBGZPJMESA-N";"E3Nonbinder";"unique"
"JR_0038";"CC(=O)NC(C(=O)NCC(C)(C)[NH+]1CCOCC1)C(C)C";"InChI=1S/C15H29N3O3/c1-11(2)13(17-12(3)19)14(20)16-10-15(4,5)18-6-8-21-9-7-18/h11,13H,6-10H2,1-5H3,(H,16,20)(H,17,19)/p+1/t13-/m0/s1";"BNOZBZOXKINPFJ-ZDUSSCGKSA-O";"E3Nonbinder";"unique"
"JR_0039";"CC(=O)NC(C(=O)NCc1ccc(Cl)cc1)C1CCCC1";"InChI=1S/C16H21ClN2O2/c1-11(20)19-15(13-4-2-3-5-13)16(21)18-10-12-6-8-14(17)9-7-12/h6-9,13,15H,2-5,10H2,1H3,(H,18,21)(H,19,20)/t15-/m0/s1";"ATLVZLNHDFSRIF-HNNXBMFYSA-N";"E3Nonbinder";"unique"
"JR_0040";"CC(=O)NC(C(=O)Nc1ccc(C)cc1)C1CCCC1";"InChI=1S/C16H22N2O2/c1-11-7-9-14(10-8-11)18-16(20)15(17-12(2)19)13-5-3-4-6-13/h7-10,13,15H,3-6H2,1-2H3,(H,17,19)(H,18,20)/t15-/m0/s1";"AJOAWDFHXYZHTI-HNNXBMFYSA-N";"E3Nonbinder";"unique"
"JR_0041";"CC(=O)NC(C(=O)Nc1ccc2nc(C)sc2c1)C1CCCC1";"InChI=1S/C17H21N3O2S/c1-10(21)18-16(12-5-3-4-6-12)17(22)20-13-7-8-14-15(9-13)23-11(2)19-14/h7-9,12,16H,3-6H2,1-2H3,(H,18,21)(H,20,22)/t16-/m0/s1";"XCTLOIAYVGBTJH-INIZCTEOSA-N";"E3Nonbinder";"unique"
"JR_0042";"CC(=O)NC1C(O)C(O)C(CO)OC1n1nc(-c2ccc(C)cc2)n(C2CC2)c1=S";"InChI=1S/C20H26N4O5S/c1-10-3-5-12(6-4-10)18-22-24(20(30)23(18)13-7-8-13)19-15(21-11(2)26)17(28)16(27)14(9-25)29-19/h3-6,13-17,19,25,27-28H,7-9H2,1-2H3,(H,21,26)/t14-,15-,16-,17-,19-/m0/s1";"QKDWWFITLRLEOY-WSRJKRBPSA-N";"E3Nonbinder";"unique"
"JR_0043";"CC(=O)NC1C(O)C(O)C(CO)OC1n1nc(-c2ccccc2)n(-c2ccccc2)c1=S";"InChI=1S/C22H24N4O5S/c1-13(28)23-17-19(30)18(29)16(12-27)31-21(17)26-22(32)25(15-10-6-3-7-11-15)20(24-26)14-8-4-2-5-9-14/h2-11,16-19,21,27,29-30H,12H2,1H3,(H,23,28)/t16-,17-,18-,19-,21-/m0/s1";"OPAVXZAAPPZDMP-JLCRNFDHSA-N";"E3Nonbinder";"unique"
"JR_0044";"CC(=O)NC1C(O)C(O)C(CO)OC1n1nc(-c2ccccc2)n(C2CC2)c1=S";"InChI=1S/C19H24N4O5S/c1-10(25)20-14-16(27)15(26)13(9-24)28-18(14)23-19(29)22(12-7-8-12)17(21-23)11-5-3-2-4-6-11/h2-6,12-16,18,24,26-27H,7-9H2,1H3,(H,20,25)/t13-,14-,15-,16-,18-/m0/s1";"GCTJDEBTNZKBID-DNCCFGNJSA-N";"E3Nonbinder";"unique"
"JR_0047";"CC(=O)Nc1ccc(NC(=O)C2CCCN2S(=O)(=O)c2c(C)cc(C)cc2C)cc1";"InChI=1S/C22H27N3O4S/c1-14-12-15(2)21(16(3)13-14)30(28,29)25-11-5-6-20(25)22(27)24-19-9-7-18(8-10-19)23-17(4)26/h7-10,12-13,20H,5-6,11H2,1-4H3,(H,23,26)(H,24,27)/t20-/m0/s1";"HKZPKNDMYGBVDY-FQEVSTJZSA-N";"E3Nonbinder";"unique"
"JR_0048";"CC(=O)Nc1ccc(NC(=O)C(C)N2C(=O)NC3(CCCCC3)C2=O)cc1";"InChI=1S/C19H24N4O4/c1-12(16(25)21-15-8-6-14(7-9-15)20-13(2)24)23-17(26)19(22-18(23)27)10-4-3-5-11-19/h6-9,12H,3-5,10-11H2,1-2H3,(H,20,24)(H,21,25)(H,22,27)/t12-/m0/s1";"WECZPGAGXVRWHR-LBPRGKRZSA-N";"E3Nonbinder";"unique"
"JR_0049";"CC(=O)Nc1nc(C(=O)NCC2CCCc3ccccc32)cs1";"InChI=1S/C17H19N3O2S/c1-11(21)19-17-20-15(10-23-17)16(22)18-9-13-7-4-6-12-5-2-3-8-14(12)13/h2-3,5,8,10,13H,4,6-7,9H2,1H3,(H,18,22)(H,19,20,21)/t13-/m1/s1";"JZMRSJUBLVYVCQ-CYBMUJFWSA-N";"E3Nonbinder";"unique"
"JR_0052";"CC(=O)C(Cc1ccccc1)NC(=O)CSc1nnc(-c2ccccc2F)n1C";"InChI=1S/C21H21FN4O2S/c1-14(27)18(12-15-8-4-3-5-9-15)23-19(28)13-29-21-25-24-20(26(21)2)16-10-6-7-11-17(16)22/h3-11,18H,12-13H2,1-2H3,(H,23,28)/t18-/m0/s1";"VEKUTXZZTIDYFR-SFHVURJKSA-N";"E3Nonbinder";"unique"
"JR_0053";"CC(=O)c1c(C)[nH]c(C(=O)N2CCCC(O)C2)c1C";"InChI=1S/C14H20N2O3/c1-8-12(10(3)17)9(2)15-13(8)14(19)16-6-4-5-11(18)7-16/h11,15,18H,4-7H2,1-3H3/t11-/m0/s1";"ZXOYZCGNJZVLIC-NSHDSACASA-N";"E3Nonbinder";"unique"
"JR_0054";"CC(=O)c1c(C)[nH]c(C(=O)C(C)OC(=O)c2cc(Cl)c3c(c2)OCCO3)c1C";"InChI=1S/C20H20ClNO6/c1-9-16(11(3)23)10(2)22-17(9)18(24)12(4)28-20(25)13-7-14(21)19-15(8-13)26-5-6-27-19/h7-8,12,22H,5-6H2,1-4H3/t12-/m0/s1";"PQSKXOIQYBUUSU-LBPRGKRZSA-N";"E3Nonbinder";"unique"
"JR_0055";"CC(=O)c1ccc(C(=O)N(C)C(C)c2cc3ccccc3o2)s1";"InChI=1S/C18H17NO3S/c1-11(15-10-13-6-4-5-7-14(13)22-15)19(3)18(21)17-9-8-16(23-17)12(2)20/h4-11H,1-3H3/t11-/m0/s1";"NNDFUVPZGVLJNW-NSHDSACASA-N";"E3Nonbinder";"unique"
"JR_0056";"CC(=O)c1ccc(S(=O)(=O)NCCC2CCCO2)cc1";"InChI=1S/C14H19NO4S/c1-11(16)12-4-6-14(7-5-12)20(17,18)15-9-8-13-3-2-10-19-13/h4-7,13,15H,2-3,8-10H2,1H3/t13-/m1/s1";"PGYWLQGOSGDZJK-CYBMUJFWSA-N";"E3Nonbinder";"unique"
"JR_0057";"CC(C)(C)C(=O)Nc1cccc(C2(C)NC(=O)NC2=O)c1";"InChI=1S/C15H19N3O3/c1-14(2,3)11(19)16-10-7-5-6-9(8-10)15(4)12(20)17-13(21)18-15/h5-8H,1-4H3,(H,16,19)(H2,17,18,20,21)/t15-/m1/s1";"AXLUKVOTEOCQBX-OAHLLOKOSA-N";"E3Nonbinder";"unique"
"JR_0058";"CC(C)(C)CC(=O)NCC(=O)N1CCCC1c1ccc(O)cc1";"InChI=1S/C18H26N2O3/c1-18(2,3)11-16(22)19-12-17(23)20-10-4-5-15(20)13-6-8-14(21)9-7-13/h6-9,15,21H,4-5,10-12H2,1-3H3,(H,19,22)/t15-/m0/s1";"XMEUJIUBKYPJBH-HNNXBMFYSA-N";"E3Nonbinder";"unique"
"JR_0059";"CC(C)(C)NC(=O)CN1C(=O)NC(C)(c2ccccc2C(F)(F)F)C1=O";"InChI=1S/C17H20F3N3O3/c1-15(2,3)21-12(24)9-23-13(25)16(4,22-14(23)26)10-7-5-6-8-11(10)17(18,19)20/h5-8H,9H2,1-4H3,(H,21,24)(H,22,26)/t16-/m1/s1";"MGWNQOUXAMGWKZ-MRXNPFEDSA-N";"E3Nonbinder";"unique"
"JR_0060";"CC(C)(C)OC(=O)N1CCC(C(=O)N2CCCC2c2nc3ccccc3s2)CC1";"InChI=1S/C22H29N3O3S/c1-22(2,3)28-21(27)24-13-10-15(11-14-24)20(26)25-12-6-8-17(25)19-23-16-7-4-5-9-18(16)29-19/h4-5,7,9,15,17H,6,8,10-14H2,1-3H3/t17-/m0/s1";"UZWDHACZVKNQSI-KRWDZBQOSA-N";"E3Nonbinder";"unique"
"JR_0061";"CC(C)(C)OC(=O)N1CCC(C(=O)NC2CCOc3ccccc32)CC1";"InChI=1S/C20H28N2O4/c1-20(2,3)26-19(24)22-11-8-14(9-12-22)18(23)21-16-10-13-25-17-7-5-4-6-15(16)17/h4-7,14,16H,8-13H2,1-3H3,(H,21,23)/t16-/m0/s1";"RVEGWDPTFDFUPQ-INIZCTEOSA-N";"E3Nonbinder";"unique"
"JR_0062";"CC(C)(C)OC(=O)N1CCCC(C(=O)N2CCN(C(=O)c3ccccc3)CC2)C1";"InChI=1S/C22H31N3O4/c1-22(2,3)29-21(28)25-11-7-10-18(16-25)20(27)24-14-12-23(13-15-24)19(26)17-8-5-4-6-9-17/h4-6,8-9,18H,7,10-16H2,1-3H3/t18-/m0/s1";"LXCHOLGIZLNQKV-SFHVURJKSA-N";"E3Nonbinder";"unique"
"JR_0063";"CC(C)(C)OC(=O)NC(Cc1ccccc1)C(=O)N1CCC(C(N)=O)CC1";"InChI=1S/C20H29N3O4/c1-20(2,3)27-19(26)22-16(13-14-7-5-4-6-8-14)18(25)23-11-9-15(10-12-23)17(21)24/h4-8,15-16H,9-13H2,1-3H3,(H2,21,24)(H,22,26)/t16-/m0/s1";"ALBLFQSOJPQEKU-INIZCTEOSA-N";"E3Nonbinder";"unique"
"JR_0064";"CC(C)(C)c1ccc(C2(C)NC(=O)N(CC(F)(F)F)C2=O)cc1";"InChI=1S/C16H19F3N2O2/c1-14(2,3)10-5-7-11(8-6-10)15(4)12(22)21(13(23)20-15)9-16(17,18)19/h5-8H,9H2,1-4H3,(H,20,23)/t15-/m1/s1";"IFPSOYIBORZGMP-OAHLLOKOSA-N";"E3Nonbinder";"unique"
"JR_0065";"CC(C)(CNc1nnc(-c2ccccc2)c2ccccc12)[NH+]1CCOCC1";"InChI=1S/C22H26N4O/c1-22(2,26-12-14-27-15-13-26)16-23-21-19-11-7-6-10-18(19)20(24-25-21)17-8-4-3-5-9-17/h3-11H,12-16H2,1-2H3,(H,23,25)/p+1";"SPYNAOXXFQWYEK-UHFFFAOYSA-O";"E3Nonbinder";"unique"
"JR_0066";"CC(C)(Oc1ccc(Cl)cc1)C(=O)NC1CCOc2ccccc21";"InChI=1S/C19H20ClNO3/c1-19(2,24-14-9-7-13(20)8-10-14)18(22)21-16-11-12-23-17-6-4-3-5-15(16)17/h3-10,16H,11-12H2,1-2H3,(H,21,22)/t16-/m0/s1";"BTYXIYKQNGQSOV-INIZCTEOSA-N";"E3Nonbinder";"unique"
"JR_0067";"CC(C)(c1ccccc1)c1ccc(OCC(O)C[NH+]2CCC(O)CC2)cc1";"InChI=1S/C23H31NO3/c1-23(2,18-6-4-3-5-7-18)19-8-10-22(11-9-19)27-17-21(26)16-24-14-12-20(25)13-15-24/h3-11,20-21,25-26H,12-17H2,1-2H3/p+1/t21-/m0/s1";"IOMPUKSYXLDOKV-NRFANRHFSA-O";"E3Nonbinder";"unique"
"JR_0068";"CC(C)C(=O)NCCNC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)c1cccs1";"InChI=1S/C22H26N4O3S/c1-14(2)20(27)23-9-10-24-21(28)18(26-22(29)19-8-5-11-30-19)12-15-13-25-17-7-4-3-6-16(15)17/h3-8,11,13-14,18,25H,9-10,12H2,1-2H3,(H,23,27)(H,24,28)(H,26,29)/t18-/m0/s1";"UYZOYZZHDMXAMH-SFHVURJKSA-N";"E3Nonbinder";"unique"
"JR_0069";"CC(C)C(=O)NC1CCCN(C(=O)CCN2C(=O)c3ccccc3C2=O)C1";"InChI=1S/C20H25N3O4/c1-13(2)18(25)21-14-6-5-10-22(12-14)17(24)9-11-23-19(26)15-7-3-4-8-16(15)20(23)27/h3-4,7-8,13-14H,5-6,9-12H2,1-2H3,(H,21,25)/t14-/m0/s1";"SRLHIEVNYCPZFA-AWEZNQCLSA-N";"E3Nonbinder";"unique"
"JR_0070";"CC(C)C(=O)NC1CCCN(C(=O)c2ccccc2O)C1";"InChI=1S/C16H22N2O3/c1-11(2)15(20)17-12-6-5-9-18(10-12)16(21)13-7-3-4-8-14(13)19/h3-4,7-8,11-12,19H,5-6,9-10H2,1-2H3,(H,17,20)/t12-/m0/s1";"BLHVEGSRGLDXBQ-LBPRGKRZSA-N";"E3Nonbinder";"unique"
"JR_0073";"CC(C)CC(=O)N1CCC(NC(=O)C2CC(=O)N(c3ccccc3)C2)CC1";"InChI=1S/C21H29N3O3/c1-15(2)12-19(25)23-10-8-17(9-11-23)22-21(27)16-13-20(26)24(14-16)18-6-4-3-5-7-18/h3-7,15-17H,8-14H2,1-2H3,(H,22,27)/t16-/m0/s1";"IVJWPJLMLVNZKC-INIZCTEOSA-N";"E3Nonbinder";"unique"
"JR_0074";"CC(C)CC(=O)NC1CC[NH+](Cc2ccccc2)C1";"InChI=1S/C16H24N2O/c1-13(2)10-16(19)17-15-8-9-18(12-15)11-14-6-4-3-5-7-14/h3-7,13,15H,8-12H2,1-2H3,(H,17,19)/p+1/t15-/m0/s1";"CKHREHIXQIPUKI-HNNXBMFYSA-O";"E3Nonbinder";"unique"
